x,y,z,vx,vy,vz
-7.860112302795300e-01,-2.175348223436482e+00,1.068414913349626e-01,6.694118134597905e-01,-1.456732807543005e-01,-1.739546201198847e-02
-4.871667460166211e-01,3.571242766423724e-01,-7.066172253469198e-02,-3.859374194626855e-02,-5.573997955105948e-01,2.288676284180502e-01
-9.973146023912918e-01,-6.173752117119946e-01,2.377669012247359e-02,3.310690021832756e-01,-3.813701887303607e-01,-9.660999230158709e-02
-1.991120775814332e+00,-4.489665964104555e-01,1.181352595798465e-01,2.079527803485073e-01,-5.850631070132810e-01,-5.957958974867648e-02
1.527054053082930e-01,1.683458094572724e+00,-1.117645119623398e-01,-6.775266660646163e-01,-1.792304077946908e-01,-4.313879548547875e-03
-3.253067477573627e+00,2.098207524633722e+00,1.856856633700879e-02,-2.582586568829552e-01,-4.864673888170746e-01,1.445710728082428e-03
-7.738277389136992e-01,9.829357339144693e-01,-1.604590454268070e-02,-4.576091125987877e-01,-4.487037982238146e-01,8.754636962179553e-02
-6.655378127941401e-01,-2.261557537534467e-01,9.046224261389487e-03,2.521032029656436e-01,-2.588601011047600e-01,-1.566463892724344e-01
2.306398022920683e+00,-1.545843737724169e+00,-5.571132542506373e-02,2.951324119847280e-01,5.296315424130991e-01,1.051602301361642e-02
3.884330294185522e+00,2.461102779174108e+00,9.182601185459185e-02,-2.935424434610583e-01,4.171554458341233e-01,-1.987054451936744e-03
-1.796395412627455e+00,-1.941698181359179e+00,1.378165238953151e-01,4.795031626162291e-01,-3.819926215226706e-01,-4.522064721050863e-02
1.450393238327951e+00,-6.261762577181856e-01,2.416194079671350e-02,3.970157244851807e-02,6.021961375992815e-01,-6.638750215125912e-02
3.087585948039773e-01,7.782264462570616e-01,6.098183059491806e-02,-6.021460375485179e-01,5.075876788883147e-02,-2.099664591811985e-01
1.529186460002391e+00,2.225487724807360e+00,5.781647597010270e-02,-5.628073402578644e-01,2.536403938349915e-01,-1.345680829930223e-02
-1.275322383866830e-01,-5.620214996732844e-01,2.689800093971087e-02,7.112863818647530e-01,1.996187111753363e-01,-2.686193026415715e-01
-2.072955326049423e+00,7.320799628870384e-01,1.324111107107019e-01,-1.507066695211104e-01,-6.039888241913460e-01,-6.491605593749970e-02
-1.463153449049493e-01,-5.299885015857340e-01,3.443056360641226e-02,5.838263367715576e-01,-1.478016253141400e-01,1.508022671735141e-01
3.282557200810946e-01,-1.787808576349145e+00,-2.035209093272696e-02,5.909957832886034e-01,1.659075347745436e-01,-4.410674184596250e-02
7.568551784785036e-01,-6.774023210469305e-01,-5.170730975379711e-02,4.137100430845137e-01,7.818154127363618e-01,1.900338936229022e-01
7.146119024632988e-03,-6.712638733251509e-01,4.667347257723718e-02,6.388909078129394e-01,3.232099257161630e-01,-2.962260015237562e-01
-4.013453589420831e-01,4.749282051825297e-01,-7.582443884721682e-02,-1.826734161331016e-01,-4.898466844211615e-01,2.611875401359267e-01
9.100807201101038e-01,-3.073297979725098e+00,-7.612107627465164e-02,5.631026547477547e-01,2.092221660956762e-01,3.447604695269813e-02
-3.704637917852879e-02,9.068251244196013e-01,8.759138012458317e-02,-5.527957023437133e-01,6.255539702811194e-02,-1.833193291243571e-01
-9.653029409581060e-01,1.688013960753888e+00,1.335659461554420e-01,-4.876968760241412e-01,-3.851260477960130e-01,-4.904177750434378e-02
-8.063456634596487e-02,1.049316355233471e+00,8.797898638986447e-02,-7.164358264780248e-01,-2.848917474425949e-01,-2.579456668859484e-01
-1.868583561041663e+00,5.216717123264757e-01,1.037649856893707e-01,-1.248394767992035e-01,-6.754809605205475e-01,-5.479444654618602e-02
3.394279439004138e-01,-9.557126528162006e-02,-8.919341953124190e-04,1.622157120911024e-01,5.220852348724463e-02,2.136852842449520e-01
1.113298444443433e+00,1.031565015373505e+00,7.099655350777874e-02,-4.982857305552062e-01,4.115334398775412e-01,-2.323798019380854e-01
-3.372587984653201e-01,-1.833627637539058e-01,-2.703702954848026e-02,1.571261970973846e-01,-3.469621915497600e-01,3.714928799901415e-01
-2.346464750525977e+00,3.806851270621282e-01,-8.909727591153137e-02,-8.342681741774724e-02,-8.106999611910830e-01,7.647225100612746e-02
-1.349427505631696e+00,1.801089009341790e-01,-1.147125527159462e-01,-7.444088230443976e-02,-6.250594834549521e-01,1.627783496342448e-01
1.016979665496363e-01,-1.229106123617030e+00,-3.900985744477208e-03,5.087424954544688e-01,2.918474431418576e-01,1.417198534363063e-02
-1.250936049481891e+00,8.223288773628679e-01,8.956568045690702e-02,-1.906800049088549e-01,-5.368411421335576e-01,-1.648255960499445e-01
2.347871937999466e+00,4.013468872085470e+00,8.959621619180790e-02,-4.484589653988383e-01,2.349955679525785e-01,-2.726640791889540e-03
2.110783023615719e+00,-1.125320865096052e+00,-6.371369593845652e-02,2.275008682987866e-01,5.928847047156051e-01,3.505684029538409e-02
1.187989641353044e+00,-3.809268110809539e-01,-2.589650407670720e-02,-3.159357136564493e-01,5.823084444586245e-01,2.462324737710116e-02
1.702248424135015e+00,1.302530179988412e+00,-9.979337334545041e-02,-4.092039079309754e-01,4.411796964958228e-01,3.137121085952425e-02
1.312752500094573e+00,-7.431139909323170e-01,-6.392868229187664e-04,1.144584599645257e-01,5.901804637758372e-01,-8.836929090752810e-02
8.396527476794935e-01,-1.692817237644836e+00,-1.207345511883081e-01,5.517141957856923e-01,3.398435974476608e-01,5.697390004162548e-02
5.297531581214071e-01,-2.918936471821712e-01,-7.143512978336383e-02,1.898641160131864e-01,3.629978210213793e-01,1.880605504257601e-01
-1.316426374216955e-01,1.391480845548000e-01,-6.146021619050001e-02,-7.015043403565595e-02,-2.027778064758948e-01,3.868147861297999e-01
